ExptStartTime, ExptEndTime
133446141,135514774
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

133653010, 133700973, 0, 0, 1,-1,RoundGoby,3,8,7,2
133708957, 133726270, 1, 1, 2,0,YellowPerch,7,8,7,2
133734302, 133750124, 2, 1, 1,0,EurasianRuffe,7,8,7,2
133758933, 133814045, 3, 1, 3,1,YellowPerch,3,10,3,1
133821821, 133834852, 4, 1, 1,0,YellowPerch,3,8,3,2
133844285, 133859813, 5, 1, 1,0,YellowPerch,7,8,7,1
133908453, 133923772, 6, 1, 2,2,RoundGoby,7,12,7,2
133931357, 133943076, 7, 1, 1,1,RoundGoby,3,10,3,2
133952741, 134004821, 8, 1, 1,1,YellowPerch,7,10,3,1
134026149, 134042412, 9, 0, 2,-1,RoundGoby,7,12,7,2
134050172, 134108140, 10, 1, 3,1,EurasianRuffe,3,10,3,1
134118693, 134132669, 11, 0, 1,-1,YellowPerch,3,8,3,2
134140173, 134151524, 12, 0, 1,-1,RoundGoby,7,8,7,1
134158732, 134213316, 13, 1, 2,0,EurasianRuffe,7,8,3,2
134221341, 134231364, 14, 0, 2,-1,YellowPerch,7,10,3,1
134247102, 134256124, 15, 0, 3,-1,RoundGoby,7,10,3,1
134311381, 134317876, 16, 0, 1,-1,YellowPerch,3,10,3,1
134326853, 134335420, 17, 0, 2,-1,EurasianRuffe,3,10,7,2
134342453, 134346516, 18, 0, 2,-1,EurasianRuffe,7,8,3,2
134353909, 134405220, 19, 1, 3,1,EurasianRuffe,3,10,3,2
134412900, 134417820, 20, 0, 1,-1,RoundGoby,7,8,3,2
134425468, 134432309, 21, 0, 3,-1,EurasianRuffe,3,10,3,2
134441333, 134450884, 22, 0, 1,-1,YellowPerch,7,8,7,1
134458685, 134504892, 23, 0, 1,-1,RoundGoby,3,10,7,1
134531253, 134542293, 24, 1, 1,1,YellowPerch,7,10,3,2
134554709, 134607260, 25, 1, 1,2,YellowPerch,3,12,7,2
134614788, 134630228, 26, 1, 1,0,RoundGoby,7,10,3,1
134641533, 134653164, 27, 1, 3,0,EurasianRuffe,7,8,7,1
134706925, 134718252, 28, 1, 1,0,RoundGoby,7,8,7,1
134725020, 134731261, 29, 0, 1,-1,YellowPerch,7,10,3,2
134750205, 134804276, 30, 1, 1,2,YellowPerch,3,12,7,1
134812229, 134822140, 31, 0, 2,-1,RoundGoby,3,12,3,1
134830541, 134840100, 32, 0, 2,-1,RoundGoby,3,10,3,2
134847340, 134906941, 33, 1, 3,2,EurasianRuffe,3,12,7,1
134914509, 134926140, 34, 0, 3,-1,EurasianRuffe,7,8,7,2
134933901, 134948443, 35, 1, 1,1,RoundGoby,3,12,3,1
134956044, 135007452, 36, 0, 3,-1,EurasianRuffe,7,10,3,1
135015284, 135028100, 37, 1, 2,1,EurasianRuffe,7,10,3,1
135036236, 135040804, 38, 0, 1,-1,YellowPerch,3,12,7,1
135048748, 135059660, 39, 0, 3,-1,EurasianRuffe,7,8,7,1
135106892, 135119908, 40, 0, 3,-1,EurasianRuffe,3,10,3,1
135129404, 135152628, 41, 1, 2,1,EurasianRuffe,3,10,7,2
135200093, 135204108, 42, 0, 1,-1,YellowPerch,7,8,7,2
135211845, 135217612, 43, 1, 1,1,RoundGoby,3,10,7,1
135233525, 135245067, 44, 1, 1,0,RoundGoby,7,8,3,2
135253284, 135302388, 45, 0, 2,-1,EurasianRuffe,3,12,7,1
135310484, 135314228, 46, 0, 1,-1,YellowPerch,3,12,7,2
135321493, 135330860, 47, 1, 1,0,RoundGoby,3,8,7,2
