ExptStartTime, ExptEndTime
120315688,121510121
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

120420706, 120428636, 0, 1, 2,1,RoundGoby,7,8,3,1
120437181, 120444021, 1, 1, 2,2,RoundGoby,7,10,7,2
120452949, 120459310, 2, 0, 1,-1,EurasianRuffe,7,8,3,2
120506701, 120514652, 3, 1, 1,1,YellowPerch,7,10,3,1
120522613, 120527140, 4, 1, 3,1,EurasianRuffe,3,10,7,1
120536461, 120542644, 5, 1, 2,0,EurasianRuffe,3,8,3,2
120549550, 120553117, 6, 0, 1,-1,EurasianRuffe,3,8,3,1
120600109, 120603781, 7, 0, 1,-1,YellowPerch,3,8,7,2
120611213, 120615181, 8, 1, 1,0,YellowPerch,3,8,7,1
120626197, 120629020, 9, 1, 2,0,YellowPerch,3,8,7,2
120638102, 120640860, 10, 0, 3,-1,RoundGoby,7,8,3,1
120648101, 120652389, 11, 1, 2,2,YellowPerch,7,12,7,2
120700349, 120703508, 12, 1, 1,0,EurasianRuffe,7,8,3,1
120714957, 120718164, 13, 1, 2,1,YellowPerch,7,10,3,2
120726205, 120729428, 14, 1, 1,0,EurasianRuffe,7,8,3,2
120739317, 120741381, 15, 0, 3,-1,RoundGoby,7,8,7,1
120748645, 120751484, 16, 1, 2,0,YellowPerch,3,8,3,1
120802029, 120804700, 17, 1, 1,2,EurasianRuffe,7,12,7,1
120812886, 120817597, 18, 1, 1,1,EurasianRuffe,7,8,7,2
120825621, 120827796, 19, 1, 3,0,RoundGoby,7,8,7,1
120836341, 120838925, 20, 0, 3,-1,RoundGoby,7,10,7,2
120846013, 120848741, 21, 0, 2,-1,YellowPerch,7,10,3,1
120855517, 120857964, 22, 0, 1,-1,EurasianRuffe,7,8,7,2
120905101, 120910333, 23, 1, 3,1,RoundGoby,3,10,3,2
120933414, 120935828, 24, 1, 3,1,RoundGoby,3,12,7,1
120946789, 120949461, 25, 1, 1,2,EurasianRuffe,3,12,7,2
121000573, 121003469, 26, 1, 2,1,YellowPerch,3,10,3,2
121014309, 121017037, 27, 0, 3,-1,RoundGoby,3,12,7,1
121024189, 121026589, 28, 0, 2,-1,YellowPerch,7,10,3,2
121033230, 121035300, 29, 0, 1,-1,EurasianRuffe,3,10,7,1
121042070, 121044077, 30, 0, 3,-1,RoundGoby,3,12,3,1
121051478, 121053725, 31, 0, 1,-1,EurasianRuffe,3,12,7,2
121100886, 121104428, 32, 0, 2,-1,YellowPerch,3,10,3,2
121111646, 121113997, 33, 1, 1,1,EurasianRuffe,3,8,3,1
121126173, 121128429, 34, 0, 3,-1,RoundGoby,7,10,3,2
121135070, 121137780, 35, 0, 2,-1,YellowPerch,3,8,3,1
121144941, 121147741, 36, 1, 2,1,YellowPerch,7,10,7,1
121157998, 121200701, 37, 0, 1,-1,EurasianRuffe,7,8,3,1
121207639, 121210030, 38, 0, 1,-1,EurasianRuffe,3,8,3,2
121217662, 121220454, 39, 0, 2,-1,YellowPerch,3,8,7,1
121227645, 121231469, 40, 0, 2,-1,YellowPerch,7,12,7,2
121238422, 121242445, 41, 1, 3,2,RoundGoby,3,12,7,2
121254838, 121257389, 42, 1, 3,1,RoundGoby,7,10,3,2
121306557, 121309269, 43, 1, 3,1,RoundGoby,3,12,3,1
121320918, 121323981, 44, 0, 3,-1,RoundGoby,3,12,7,2
121331327, 121336749, 45, 0, 3,-1,RoundGoby,3,10,3,2
121343790, 121345933, 46, 0, 2,-1,YellowPerch,7,10,7,1
121352430, 121354366, 47, 0, 1,-1,EurasianRuffe,7,12,7,1
