ExptStartTime, ExptEndTime
143347199,144550778
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

143507619, 143513415, 0, 1, 1,1,EurasianRuffe,3,12,7,2
143526767, 143531846, 1, 1, 2,2,YellowPerch,3,12,7,2
143545264, 143548430, 2, 1, 3,0,RoundGoby,3,8,3,2
143558967, 143602382, 3, 1, 1,1,RoundGoby,7,10,7,2
143613919, 143618606, 4, 0, 2,-1,YellowPerch,7,8,7,2
143630862, 143633983, 5, 0, 1,-1,YellowPerch,3,8,7,1
143640911, 143643974, 6, 1, 2,0,YellowPerch,3,8,7,1
143655815, 143658262, 7, 1, 3,1,RoundGoby,3,12,3,1
143708006, 143713662, 8, 1, 3,0,RoundGoby,3,8,7,1
143723110, 143726111, 9, 0, 1,-1,YellowPerch,7,12,3,2
143736215, 143738423, 10, 1, 1,0,EurasianRuffe,7,8,3,1
143747286, 143751166, 11, 1, 1,0,EurasianRuffe,7,8,7,2
143802159, 143805543, 12, 1, 2,1,YellowPerch,7,10,3,1
143816326, 143818846, 13, 0, 3,-1,YellowPerch,3,12,7,2
143829351, 143835366, 14, 0, 3,-1,RoundGoby,3,10,7,2
143843199, 143847598, 15, 1, 3,1,RoundGoby,7,12,3,1
143858191, 143901270, 16, 1, 1,1,YellowPerch,7,12,3,2
143912910, 143914934, 17, 0, 1,-1,EurasianRuffe,7,8,3,1
143921527, 143924239, 18, 0, 1,-1,EurasianRuffe,3,8,3,2
143930911, 143936174, 19, 1, 1,0,EurasianRuffe,7,8,3,2
143946127, 143950014, 20, 1, 2,0,YellowPerch,7,8,7,1
144000567, 144003207, 21, 1, 3,0,RoundGoby,7,10,7,1
144011879, 144014694, 22, 1, 3,1,RoundGoby,3,10,7,2
144026303, 144028662, 23, 0, 3,-1,RoundGoby,3,8,3,2
144047047, 144049974, 24, 1, 1,1,EurasianRuffe,3,10,7,1
144100119, 144102303, 25, 0, 3,-1,RoundGoby,3,8,7,1
144109303, 144111798, 26, 0, 2,-1,YellowPerch,7,10,3,1
144118159, 144120854, 27, 0, 3,-1,RoundGoby,3,12,3,1
144127423, 144130910, 28, 1, 2,0,YellowPerch,7,8,7,2
144140751, 144146983, 29, 0, 3,-1,RoundGoby,7,12,3,1
144153326, 144155550, 30, 0, 3,-1,RoundGoby,7,8,3,2
144201982, 144205087, 31, 0, 1,-1,EurasianRuffe,3,12,7,2
144211839, 144214406, 32, 0, 1,-1,EurasianRuffe,7,8,7,2
144221351, 144224887, 33, 0, 2,-1,YellowPerch,3,12,3,2
144231375, 144233863, 34, 1, 1,2,EurasianRuffe,7,12,7,1
144243694, 144247222, 35, 1, 2,1,YellowPerch,3,10,3,1
144257111, 144259111, 36, 0, 2,-1,YellowPerch,3,10,3,1
144305455, 144307014, 37, 0, 1,-1,EurasianRuffe,3,10,3,1
144314278, 144317414, 38, 1, 2,2,YellowPerch,3,12,3,2
144328263, 144330655, 39, 0, 3,-1,RoundGoby,7,10,7,2
144336967, 144338975, 40, 0, 1,-1,EurasianRuffe,3,10,7,1
144345310, 144347414, 41, 0, 3,-1,RoundGoby,7,10,7,1
144353751, 144356406, 42, 0, 2,-1,YellowPerch,7,8,7,1
144402967, 144404471, 43, 0, 1,-1,EurasianRuffe,7,12,7,1
144410798, 144412503, 44, 1, 1,0,EurasianRuffe,3,10,3,1
144422014, 144424558, 45, 1, 3,0,RoundGoby,7,8,3,2
144434366, 144436359, 46, 0, 1,-1,EurasianRuffe,7,8,3,2
144442790, 144445526, 47, 1, 1,0,EurasianRuffe,3,8,3,2
