ExptStartTime, ExptEndTime
163058570,165154322
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

163420924, 163431295, 0, 0, 3,-1,YellowPerch,7,12,3,1
163441072, 163500175, 1, 1, 2,0,RoundGoby,7,12,7,1
163508288, 163522310, 2, 0, 1,-1,EurasianRuffe,7,10,3,1
163530391, 163543487, 3, 0, 3,-1,RoundGoby,7,12,7,1
163551615, 163605566, 4, 0, 2,-1,YellowPerch,7,8,7,2
163614775, 163649166, 5, 1, 1,0,YellowPerch,7,8,3,2
163657864, 163706479, 6, 0, 1,-1,RoundGoby,7,12,7,2
163715072, 163726760, 7, 0, 2,-1,YellowPerch,7,12,7,1
163736543, 163745574, 8, 1, 3,0,YellowPerch,7,8,7,2
163801976, 163817967, 9, 0, 1,-1,EurasianRuffe,3,8,3,1
163826078, 163832783, 10, 1, 3,2,YellowPerch,7,12,3,1
163854000, 163903494, 11, 1, 2,1,RoundGoby,3,8,3,2
163917375, 163923278, 12, 1, 1,0,EurasianRuffe,3,8,3,1
163941615, 163959526, 13, 0, 2,-1,YellowPerch,3,10,7,1
164007487, 164018982, 14, 1, 1,1,EurasianRuffe,7,10,7,1
164027384, 164040158, 15, 1, 3,0,RoundGoby,3,8,7,2
164047936, 164058607, 16, 1, 2,0,RoundGoby,3,8,3,1
164108255, 164117438, 17, 0, 1,-1,EurasianRuffe,3,10,3,2
164125735, 164132438, 18, 0, 1,-1,EurasianRuffe,7,10,3,2
164140543, 164149135, 19, 0, 1,-1,EurasianRuffe,7,8,7,2
164156975, 164209278, 20, 1, 1,0,EurasianRuffe,7,10,3,1
164216663, 164225367, 21, 1, 1,1,EurasianRuffe,3,10,3,2
164246255, 164255230, 22, 0, 2,-1,YellowPerch,3,12,7,2
164304031, 164308558, 23, 0, 2,-1,RoundGoby,7,10,3,1
164329975, 164347502, 24, 0, 3,-1,RoundGoby,3,8,7,2
164354911, 164400583, 25, 1, 3,1,RoundGoby,3,12,7,1
164415327, 164419214, 26, 0, 1,-1,EurasianRuffe,7,10,7,1
164426767, 164430239, 27, 1, 2,2,YellowPerch,3,12,3,2
164445136, 164449910, 28, 1, 1,0,EurasianRuffe,3,8,7,1
164502567, 164505774, 29, 0, 2,-1,YellowPerch,3,12,3,2
164516168, 164525094, 30, 0, 3,-1,RoundGoby,3,8,3,2
164535191, 164543119, 31, 0, 2,-1,YellowPerch,3,12,3,1
164551920, 164556158, 32, 1, 2,2,YellowPerch,3,12,3,1
164610544, 164617359, 33, 1, 2,1,YellowPerch,3,12,7,2
164633287, 164638526, 34, 1, 2,1,YellowPerch,3,10,7,1
164652447, 164655270, 35, 1, 1,0,EurasianRuffe,7,8,7,2
164710183, 164716918, 36, 1, 3,2,RoundGoby,7,12,7,2
164731007, 164736574, 37, 0, 3,-1,RoundGoby,3,12,7,1
164744231, 164746551, 38, 0, 1,-1,EurasianRuffe,3,10,7,2
164753807, 164800014, 39, 0, 3,-1,RoundGoby,7,12,3,2
164807360, 164809926, 40, 0, 1,-1,EurasianRuffe,3,8,7,1
164817359, 164823679, 41, 1, 3,2,RoundGoby,7,12,3,2
164836095, 164838302, 42, 1, 1,1,EurasianRuffe,3,10,7,2
164853544, 164856967, 43, 1, 3,0,RoundGoby,7,10,3,1
164911736, 164914463, 44, 0, 3,-1,RoundGoby,3,8,3,1
164922448, 164925167, 45, 1, 1,1,EurasianRuffe,7,10,3,2
164939655, 164942382, 46, 0, 2,-1,YellowPerch,7,8,3,2
164951216, 164955447, 47, 1, 2,1,YellowPerch,7,12,7,1
