ExptStartTime, ExptEndTime
141254711,142728734
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

141414438, 141423107, 0, 0, 2,-1,RoundGoby,3,8,7,2
141431378, 141445466, 1, 1, 2,0,YellowPerch,7,8,7,2
141457258, 141509113, 2, 1, 1,0,EurasianRuffe,7,8,7,2
141520562, 141524720, 3, 1, 3,1,YellowPerch,3,10,3,1
141537049, 141542057, 4, 1, 2,0,YellowPerch,3,8,3,2
141552705, 141601201, 5, 1, 3,0,YellowPerch,7,8,7,1
141611497, 141618737, 6, 1, 1,1,RoundGoby,7,12,7,2
141630089, 141636241, 7, 1, 1,1,RoundGoby,3,10,3,2
141647970, 141652153, 8, 1, 3,1,YellowPerch,7,10,3,1
141707410, 141714641, 9, 0, 1,-1,RoundGoby,7,12,7,2
141726977, 141730489, 10, 1, 3,0,EurasianRuffe,3,10,3,1
141743210, 141745866, 11, 0, 3,-1,YellowPerch,3,8,3,2
141757281, 141807344, 12, 0, 2,-1,RoundGoby,7,8,7,1
141814826, 141818241, 13, 1, 3,0,EurasianRuffe,7,8,3,2
141832305, 141835393, 14, 0, 3,-1,YellowPerch,7,10,3,1
141842962, 141848665, 15, 0, 2,-1,RoundGoby,7,10,3,1
141857409, 141900416, 16, 0, 3,-1,YellowPerch,3,10,3,1
141908465, 141911457, 17, 0, 3,-1,EurasianRuffe,3,10,7,2
141918233, 141920776, 18, 0, 3,-1,EurasianRuffe,7,8,3,2
141927376, 141932184, 19, 1, 3,1,EurasianRuffe,3,10,3,2
141945281, 141952817, 20, 0, 2,-1,RoundGoby,7,8,3,2
142002824, 142004761, 21, 0, 3,-1,EurasianRuffe,3,10,3,2
142012665, 142016353, 22, 0, 3,-1,YellowPerch,7,8,7,1
142023121, 142030617, 23, 0, 2,-1,RoundGoby,3,10,7,1
142050145, 142054113, 24, 1, 3,1,YellowPerch,7,10,3,2
142104385, 142107824, 25, 1, 3,2,YellowPerch,3,12,7,2
142117826, 142121033, 26, 1, 2,0,RoundGoby,7,10,3,1
142135553, 142141784, 27, 1, 3,0,EurasianRuffe,7,8,7,1
142148873, 142152600, 28, 1, 2,0,RoundGoby,7,8,7,1
142203985, 142207664, 29, 0, 3,-1,YellowPerch,7,10,3,2
142214082, 142220296, 30, 1, 3,2,YellowPerch,3,12,7,1
142231977, 142235168, 31, 0, 2,-1,RoundGoby,3,12,3,1
142243929, 142248193, 32, 0, 2,-1,RoundGoby,3,10,3,2
142254305, 142301384, 33, 1, 3,2,EurasianRuffe,3,12,7,1
142316264, 142322112, 34, 0, 1,-1,EurasianRuffe,7,8,7,2
142328593, 142330945, 35, 1, 2,2,RoundGoby,3,12,3,1
142355041, 142359952, 36, 0, 1,-1,EurasianRuffe,7,10,3,1
142406545, 142409097, 37, 1, 1,0,EurasianRuffe,7,10,3,1
142419193, 142427904, 38, 0, 3,-1,YellowPerch,3,12,7,1
142434801, 142439056, 39, 0, 1,-1,EurasianRuffe,7,8,7,1
142446249, 142449193, 40, 0, 1,-1,EurasianRuffe,3,10,3,1
142455897, 142506617, 41, 1, 1,1,EurasianRuffe,3,10,7,2
142513201, 142518320, 42, 0, 3,-1,YellowPerch,7,8,7,2
142528233, 142530455, 43, 1, 2,1,RoundGoby,3,10,7,1
142540760, 142543280, 44, 1, 2,0,RoundGoby,7,8,3,2
142552537, 142555849, 45, 0, 1,-1,EurasianRuffe,3,12,7,1
142602017, 142605136, 46, 0, 3,-1,YellowPerch,3,12,7,2
142611465, 142613777, 47, 1, 2,0,RoundGoby,3,8,7,2
