ExptStartTime, ExptEndTime
114220078,115854824
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

114433857, 114443011, 0, 0, 1,-1,YellowPerch,3,10,7,2
114450900, 114455203, 1, 0, 1,-1,EurasianRuffe,7,12,7,2
114502860, 114510763, 2, 1, 3,2,RoundGoby,3,12,7,2
114527355, 114542035, 3, 0, 3,-1,RoundGoby,7,12,7,2
114550420, 114559227, 4, 1, 2,1,YellowPerch,3,12,7,1
114610731, 114620555, 5, 1, 3,2,RoundGoby,7,12,7,2
114628347, 114633035, 6, 1, 2,0,RoundGoby,7,8,3,1
114644555, 114656004, 7, 1, 2,0,YellowPerch,3,8,3,1
114703596, 114706924, 8, 1, 1,1,EurasianRuffe,3,12,7,1
114719227, 114734891, 9, 0, 2,-1,EurasianRuffe,3,12,3,2
114741892, 114745955, 10, 0, 3,-1,RoundGoby,3,12,7,1
114753021, 114755930, 11, 1, 1,1,EurasianRuffe,7,12,3,1
114806515, 114812259, 12, 0, 1,-1,EurasianRuffe,3,12,3,1
114819307, 114823555, 13, 1, 1,1,EurasianRuffe,7,10,7,1
114834971, 114842634, 14, 1, 2,1,YellowPerch,3,10,3,2
114854107, 114900730, 15, 0, 3,-1,RoundGoby,7,8,3,1
114907939, 114910994, 16, 1, 3,0,RoundGoby,3,8,3,1
114923852, 114932419, 17, 1, 1,2,EurasianRuffe,3,12,3,1
114939356, 114942500, 18, 0, 1,-1,EurasianRuffe,7,12,3,1
114951684, 114955467, 19, 0, 2,-1,YellowPerch,3,10,3,2
115002698, 115007787, 20, 0, 2,-1,YellowPerch,7,10,3,2
115014395, 115021659, 21, 1, 2,0,YellowPerch,7,8,7,1
115032435, 115042203, 22, 0, 2,-1,YellowPerch,7,8,7,1
115050282, 115057762, 23, 0, 2,-1,YellowPerch,7,12,3,1
115134171, 115137611, 24, 1, 3,1,RoundGoby,3,12,7,1
115149651, 115200730, 25, 1, 3,1,RoundGoby,7,12,7,1
115207483, 115216850, 26, 1, 2,1,YellowPerch,7,10,3,2
115224659, 115233642, 27, 1, 2,1,YellowPerch,3,10,7,2
115243860, 115249291, 28, 0, 2,-1,YellowPerch,3,8,3,1
115256466, 115313554, 29, 1, 1,2,EurasianRuffe,3,12,3,2
115320060, 115324650, 30, 0, 3,-1,RoundGoby,3,8,3,1
115331779, 115345778, 31, 1, 1,1,YellowPerch,7,10,7,2
115352643, 115355771, 32, 0, 1,-1,EurasianRuffe,3,12,7,1
115402522, 115405178, 33, 0, 3,-1,RoundGoby,7,8,3,2
115412475, 115415170, 34, 0, 1,-1,EurasianRuffe,7,10,7,1
115422082, 115425387, 35, 0, 3,-1,RoundGoby,3,12,7,2
115432730, 115439027, 36, 1, 2,2,YellowPerch,7,12,3,1
115449370, 115451506, 37, 0, 3,-1,RoundGoby,7,12,7,1
115503195, 115505834, 38, 1, 3,0,RoundGoby,7,8,3,2
115517034, 115520466, 39, 1, 1,2,EurasianRuffe,3,12,7,2
115531211, 115539275, 40, 1, 1,1,EurasianRuffe,7,12,7,2
115547227, 115552730, 41, 0, 2,-1,YellowPerch,7,10,7,2
115605851, 115608242, 42, 0, 1,-1,EurasianRuffe,7,12,3,2
115614994, 115617865, 43, 1, 3,1,RoundGoby,3,10,3,2
115627754, 115631370, 44, 0, 1,-1,EurasianRuffe,3,12,7,2
115638307, 115641402, 45, 0, 2,-1,YellowPerch,3,12,7,1
115648682, 115652042, 46, 1, 1,2,EurasianRuffe,7,12,3,2
115703299, 115705634, 47, 0, 3,-1,RoundGoby,3,10,3,2
