ExptStartTime, ExptEndTime
121203207,122514644
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

121320119, 121333764, 0, 1, 1,2,EurasianRuffe,3,12,7,2
121340875, 121351321, 1, 1, 2,2,YellowPerch,3,12,7,2
121358067, 121406978, 2, 1, 1,0,RoundGoby,3,8,3,2
121417354, 121429018, 3, 1, 1,1,RoundGoby,7,10,7,2
121436122, 121445083, 4, 0, 3,-1,YellowPerch,7,8,7,2
121452027, 121459498, 5, 0, 1,-1,YellowPerch,3,8,7,1
121506362, 121514314, 6, 1, 3,0,YellowPerch,3,8,7,1
121521011, 121532138, 7, 1, 1,1,RoundGoby,3,12,3,1
121539483, 121548290, 8, 1, 2,0,RoundGoby,3,8,7,1
121555202, 121602674, 9, 0, 3,-1,YellowPerch,7,12,3,2
121609410, 121616802, 10, 1, 2,0,EurasianRuffe,7,8,3,1
121623738, 121629865, 11, 1, 3,0,EurasianRuffe,7,8,7,2
121636330, 121643969, 12, 1, 1,1,YellowPerch,7,10,3,1
121650362, 121659282, 13, 0, 3,-1,YellowPerch,3,12,7,2
121705993, 121709498, 14, 0, 2,-1,RoundGoby,3,10,7,2
121716346, 121723250, 15, 1, 1,1,RoundGoby,7,12,3,1
121730186, 121738369, 16, 1, 3,2,YellowPerch,7,12,3,2
121745073, 121752489, 17, 0, 3,-1,EurasianRuffe,7,8,3,1
121759362, 121808498, 18, 0, 2,-1,EurasianRuffe,3,8,3,2
121815002, 121821961, 19, 1, 3,0,EurasianRuffe,7,8,3,2
121828522, 121835066, 20, 1, 1,0,YellowPerch,7,8,7,1
121842954, 121852458, 21, 1, 2,1,RoundGoby,7,10,7,1
121900170, 121907178, 22, 1, 3,1,RoundGoby,3,10,7,2
121913953, 121920137, 23, 0, 3,-1,RoundGoby,3,8,3,2
121937171, 121942914, 24, 1, 1,1,EurasianRuffe,3,10,7,1
121950610, 121955834, 25, 0, 3,-1,RoundGoby,3,8,7,1
122003178, 122010402, 26, 0, 3,-1,YellowPerch,7,10,3,1
122017233, 122022537, 27, 0, 2,-1,RoundGoby,3,12,3,1
122031370, 122038330, 28, 1, 3,0,YellowPerch,7,8,7,2
122044906, 122049537, 29, 0, 1,-1,RoundGoby,7,12,3,1
122056074, 122058250, 30, 0, 2,-1,RoundGoby,7,8,3,2
122105122, 122109090, 31, 0, 3,-1,EurasianRuffe,3,12,7,2
122116203, 122119994, 32, 0, 2,-1,EurasianRuffe,7,8,7,2
122126553, 122132857, 33, 0, 3,-1,YellowPerch,3,12,3,2
122139466, 122147201, 34, 1, 3,1,EurasianRuffe,7,12,7,1
122154098, 122200137, 35, 1, 3,1,YellowPerch,3,10,3,1
122206713, 122210193, 36, 0, 1,-1,YellowPerch,3,10,3,1
122216930, 122219586, 37, 0, 1,-1,EurasianRuffe,3,10,3,1
122226594, 122236762, 38, 1, 3,2,YellowPerch,3,12,3,2
122243137, 122245394, 39, 0, 2,-1,RoundGoby,7,10,7,2
122251777, 122254385, 40, 0, 1,-1,EurasianRuffe,3,10,7,1
122301026, 122304249, 41, 0, 1,-1,RoundGoby,7,10,7,1
122310633, 122313314, 42, 0, 2,-1,YellowPerch,7,8,7,1
122320058, 122322449, 43, 0, 3,-1,EurasianRuffe,7,12,7,1
122329386, 122332361, 44, 1, 3,1,EurasianRuffe,3,10,3,1
122344993, 122349737, 45, 1, 2,0,RoundGoby,7,8,3,2
122356834, 122358937, 46, 0, 2,-1,EurasianRuffe,7,8,3,2
122405202, 122411993, 47, 1, 1,0,EurasianRuffe,3,8,3,2
