ExptStartTime, ExptEndTime
125508210,131356313
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

125701018, 125716309, 0, 0, 1,-1,RoundGoby,7,12,3,1
125727318, 125734469, 1, 0, 3,-1,RoundGoby,3,10,7,1
125747079, 125758950, 2, 1, 1,1,RoundGoby,3,10,7,1
125809422, 125818005, 3, 0, 2,-1,YellowPerch,7,10,3,2
125826814, 125837005, 4, 1, 2,1,YellowPerch,7,10,7,2
125844734, 125853254, 5, 0, 2,-1,YellowPerch,3,8,7,1
125912918, 125918149, 6, 0, 3,-1,RoundGoby,3,12,3,1
125932758, 125946037, 7, 0, 1,-1,EurasianRuffe,3,12,3,2
125955911, 130004181, 8, 0, 1,-1,RoundGoby,7,8,7,1
130014055, 130018997, 9, 0, 2,-1,YellowPerch,7,12,3,1
130027814, 130032205, 10, 0, 1,-1,EurasianRuffe,3,8,3,1
130040038, 130043709, 11, 0, 3,-1,RoundGoby,7,10,3,2
130053486, 130107037, 12, 1, 3,1,RoundGoby,7,10,7,2
130114143, 130120497, 13, 0, 3,-1,RoundGoby,3,10,7,2
130128742, 130136318, 14, 0, 1,-1,EurasianRuffe,7,8,3,2
130148646, 130151613, 15, 1, 1,2,EurasianRuffe,3,12,3,2
130211518, 130216653, 16, 0, 2,-1,YellowPerch,3,10,3,2
130229438, 130237877, 17, 0, 1,-1,RoundGoby,7,10,7,2
130247238, 130303150, 18, 1, 1,0,EurasianRuffe,7,8,7,1
130309863, 130313734, 19, 1, 3,2,YellowPerch,3,12,7,2
130329238, 130341581, 20, 1, 1,0,EurasianRuffe,3,8,7,1
130349134, 130352885, 21, 0, 1,-1,EurasianRuffe,7,12,7,2
130359718, 130403286, 22, 0, 2,-1,RoundGoby,3,10,3,2
130411270, 130414399, 23, 1, 1,0,EurasianRuffe,7,8,3,2
130458694, 130515734, 24, 0, 2,-1,YellowPerch,7,10,7,2
130526407, 130530773, 25, 0, 2,-1,YellowPerch,3,12,7,2
130543543, 130601662, 26, 1, 2,1,YellowPerch,7,10,3,2
130610670, 130614214, 27, 0, 1,-1,EurasianRuffe,7,8,7,1
130624375, 130631086, 28, 0, 3,-1,YellowPerch,3,8,3,1
130638710, 130646485, 29, 1, 3,0,RoundGoby,7,8,7,1
130711319, 130726902, 30, 1, 3,0,YellowPerch,3,8,7,1
130735134, 130738165, 31, 0, 1,-1,EurasianRuffe,3,8,7,1
130745406, 130748605, 32, 1, 1,2,EurasianRuffe,7,12,7,2
130802126, 130805981, 33, 1, 2,1,RoundGoby,7,10,3,2
130827910, 130841070, 34, 1, 2,1,RoundGoby,3,10,7,2
130849662, 130851957, 35, 1, 2,2,RoundGoby,7,12,3,1
130917663, 130920158, 36, 1, 2,1,RoundGoby,3,10,3,2
130932246, 130935229, 37, 1, 1,0,EurasianRuffe,3,8,3,1
130951814, 130955462, 38, 1, 3,2,YellowPerch,7,12,3,1
131009806, 131013574, 39, 1, 1,0,EurasianRuffe,7,8,3,1
131029206, 131032822, 40, 1, 1,0,EurasianRuffe,3,8,7,2
131048550, 131050734, 41, 0, 1,-1,EurasianRuffe,3,8,7,2
131058477, 131101310, 42, 1, 3,1,YellowPerch,7,10,7,1
131118406, 131121893, 43, 1, 3,1,YellowPerch,3,10,3,2
131137662, 131140325, 44, 1, 3,0,YellowPerch,3,8,3,1
131157166, 131159718, 45, 0, 1,-1,EurasianRuffe,7,8,3,1
131212631, 131216150, 46, 0, 3,-1,YellowPerch,7,10,7,1
131224110, 131226493, 47, 1, 2,1,RoundGoby,3,12,3,1
