ExptStartTime, ExptEndTime
143033511,144518065
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

143159427, 143207791, 0, 0, 1,-1,EurasianRuffe,7,8,3,1
143216662, 143222119, 1, 1, 2,1,RoundGoby,3,10,7,2
143236182, 143239405, 2, 1, 3,1,YellowPerch,7,12,7,1
143255430, 143300269, 3, 1, 2,0,RoundGoby,3,8,3,2
143312046, 143317205, 4, 1, 3,1,YellowPerch,3,12,3,1
143330478, 143333670, 5, 0, 2,-1,RoundGoby,3,10,7,2
143346046, 143348574, 6, 0, 2,-1,RoundGoby,3,10,3,1
143356374, 143402790, 7, 0, 3,-1,YellowPerch,3,12,3,1
143410430, 143412749, 8, 0, 3,-1,YellowPerch,7,12,3,1
143420382, 143422853, 9, 1, 1,0,EurasianRuffe,7,8,7,1
143452095, 143455317, 10, 1, 2,0,RoundGoby,7,8,3,1
143510678, 143513117, 11, 1, 1,1,EurasianRuffe,3,12,7,1
143532542, 143536214, 12, 0, 1,-1,EurasianRuffe,7,12,3,2
143543110, 143546181, 13, 1, 1,2,EurasianRuffe,7,12,7,2
143600910, 143608134, 14, 1, 1,0,EurasianRuffe,3,10,3,1
143618942, 143622486, 15, 0, 1,-1,EurasianRuffe,7,12,7,2
143629470, 143632069, 16, 0, 1,-1,EurasianRuffe,3,12,3,2
143639070, 143641126, 17, 1, 2,2,YellowPerch,7,12,3,1
143654502, 143656510, 18, 0, 1,-1,EurasianRuffe,3,8,7,2
143704014, 143706221, 19, 0, 2,-1,YellowPerch,7,8,3,2
143713030, 143714942, 20, 0, 2,-1,RoundGoby,7,10,7,1
143721894, 143723701, 21, 1, 2,0,YellowPerch,7,8,3,2
143735878, 143737878, 22, 0, 1,-1,EurasianRuffe,7,8,7,1
143744813, 143747622, 23, 1, 2,0,RoundGoby,3,8,7,1
143808095, 143810045, 24, 1, 2,0,RoundGoby,7,8,3,2
143822061, 143823606, 25, 1, 2,1,RoundGoby,3,10,3,1
143835598, 143838789, 26, 0, 1,-1,EurasianRuffe,3,12,7,1
143846174, 143849165, 27, 1, 1,2,EurasianRuffe,3,12,3,2
143905197, 143907581, 28, 1, 2,0,YellowPerch,3,8,3,2
143919942, 143921749, 29, 0, 2,-1,RoundGoby,7,8,3,1
143928294, 143931022, 30, 1, 2,0,RoundGoby,7,8,7,2
143943662, 143948869, 31, 0, 3,-1,YellowPerch,3,10,7,1
143956613, 144000485, 32, 0, 3,-1,YellowPerch,3,10,7,2
144007925, 144010150, 33, 1, 1,2,EurasianRuffe,7,12,3,2
144024878, 144032125, 34, 0, 3,-1,YellowPerch,7,12,7,1
144041358, 144043837, 35, 1, 3,1,YellowPerch,3,10,7,1
144057454, 144100686, 36, 0, 2,-1,RoundGoby,7,8,7,2
144108966, 144111309, 37, 0, 2,-1,RoundGoby,7,8,3,2
144117950, 144121501, 38, 1, 3,1,YellowPerch,7,10,7,2
144134806, 144138949, 39, 1, 3,1,YellowPerch,3,10,7,2
144151158, 144153606, 40, 0, 3,-1,YellowPerch,7,10,7,2
144200478, 144202677, 41, 1, 2,1,RoundGoby,7,10,7,1
144216862, 144219606, 42, 0, 3,-1,YellowPerch,3,8,3,2
144226454, 144229638, 43, 0, 2,-1,RoundGoby,3,8,3,2
144236294, 144238597, 44, 0, 1,-1,EurasianRuffe,3,10,3,1
144245446, 144248253, 45, 1, 1,0,EurasianRuffe,3,8,7,2
144259918, 144301701, 46, 0, 2,-1,RoundGoby,3,8,7,1
144308574, 144311101, 47, 1, 1,0,EurasianRuffe,7,8,3,1
