ExptStartTime, ExptEndTime
121828916,123136849
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

121959580, 122009952, 0, 1, 3,1,YellowPerch,3,8,7,1
122021519, 122025935, 1, 0, 1,-1,EurasianRuffe,7,8,7,1
122032959, 122036687, 2, 0, 3,-1,YellowPerch,3,8,7,1
122045703, 122048974, 3, 1, 1,0,EurasianRuffe,3,8,3,1
122059575, 122103558, 4, 0, 2,-1,YellowPerch,3,12,3,2
122110575, 122114798, 5, 0, 3,-1,YellowPerch,7,12,3,2
122121959, 122126935, 6, 0, 3,-1,RoundGoby,7,8,3,1
122134055, 122137446, 7, 1, 3,1,RoundGoby,3,12,3,1
122148150, 122151198, 8, 0, 2,-1,YellowPerch,7,8,7,1
122157790, 122201670, 9, 0, 3,-1,RoundGoby,7,10,7,2
122208591, 122216582, 10, 0, 2,-1,YellowPerch,3,8,7,2
122226382, 122230895, 11, 1, 3,1,RoundGoby,7,8,3,2
122242407, 122246918, 12, 1, 3,0,RoundGoby,7,8,3,1
122259935, 122303342, 13, 1, 1,1,EurasianRuffe,7,12,3,1
122316223, 122320094, 14, 0, 3,-1,RoundGoby,3,12,7,1
122327038, 122331038, 15, 1, 2,0,YellowPerch,7,8,7,2
122342631, 122345678, 16, 0, 1,-1,EurasianRuffe,7,12,3,1
122352046, 122354165, 17, 1, 1,1,EurasianRuffe,3,12,7,1
122405174, 122408565, 18, 0, 1,-1,EurasianRuffe,3,10,3,2
122418062, 122422822, 19, 1, 2,0,YellowPerch,7,8,7,1
122433439, 122435574, 20, 0, 3,-1,RoundGoby,7,8,7,1
122441806, 122444037, 21, 1, 3,0,RoundGoby,3,12,7,1
122457382, 122500134, 22, 1, 2,2,YellowPerch,7,12,3,2
122514678, 122516534, 23, 0, 3,-1,RoundGoby,3,12,3,1
122533886, 122537126, 24, 1, 1,1,EurasianRuffe,7,10,3,2
122547158, 122550174, 25, 1, 1,1,EurasianRuffe,7,10,7,2
122559950, 122601974, 26, 1, 2,2,YellowPerch,3,12,3,1
122612758, 122617806, 27, 0, 1,-1,EurasianRuffe,3,8,3,1
122625078, 122630206, 28, 1, 2,0,YellowPerch,3,8,7,2
122640974, 122643766, 29, 0, 3,-1,RoundGoby,7,8,3,2
122650206, 122655781, 30, 1, 1,1,EurasianRuffe,3,10,3,2
122706799, 122714029, 31, 1, 3,2,RoundGoby,3,12,3,2
122720159, 122722110, 32, 0, 3,-1,RoundGoby,3,12,3,2
122728294, 122734862, 33, 1, 3,0,RoundGoby,3,8,7,2
122740958, 122743006, 34, 0, 1,-1,EurasianRuffe,7,10,3,2
122749726, 122751629, 35, 0, 1,-1,EurasianRuffe,3,12,7,1
122757758, 122759790, 36, 1, 1,0,EurasianRuffe,7,8,7,1
122808774, 122810566, 37, 1, 2,0,YellowPerch,7,8,3,1
122819222, 122824198, 38, 0, 1,-1,EurasianRuffe,3,10,7,2
122830567, 122832958, 39, 1, 3,0,RoundGoby,7,8,7,1
122843574, 122850510, 40, 0, 2,-1,YellowPerch,3,12,3,1
122856574, 122858677, 41, 1, 2,1,YellowPerch,3,12,3,2
122910054, 122920357, 42, 1, 1,1,EurasianRuffe,3,10,7,2
122926654, 122929398, 43, 0, 3,-1,RoundGoby,3,8,7,2
122935518, 122937766, 44, 0, 2,-1,YellowPerch,7,8,7,2
122944158, 122945790, 45, 0, 2,-1,YellowPerch,7,8,3,1
122951550, 122954365, 46, 0, 1,-1,EurasianRuffe,7,10,7,2
123000350, 123002845, 47, 1, 3,1,RoundGoby,7,10,7,2
