ExptStartTime, ExptEndTime
151226702,152813400
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

151400179, 151417204, 0, 1, 1,1,EurasianRuffe,7,10,7,2
151425581, 151435236, 1, 0, 3,-1,RoundGoby,7,10,7,1
151442644, 151453323, 2, 1, 2,0,RoundGoby,7,10,7,1
151500196, 151509508, 3, 0, 3,-1,RoundGoby,3,8,3,1
151516188, 151523491, 4, 1, 1,2,RoundGoby,7,12,3,2
151531196, 151544291, 5, 1, 2,1,YellowPerch,3,10,3,2
151555189, 151602308, 6, 1, 1,1,YellowPerch,7,10,7,1
151609964, 151616396, 7, 0, 2,-1,EurasianRuffe,3,12,7,1
151623180, 151632547, 8, 0, 2,-1,RoundGoby,3,8,7,2
151640532, 151647275, 9, 0, 2,-1,YellowPerch,7,12,3,1
151659420, 151707804, 10, 1, 2,1,YellowPerch,3,12,7,2
151714627, 151721716, 11, 1, 3,2,YellowPerch,7,12,7,2
151729948, 151740955, 12, 1, 2,2,RoundGoby,7,12,7,2
151747244, 151750675, 13, 1, 2,2,YellowPerch,7,12,3,1
151802419, 151812667, 14, 0, 2,-1,YellowPerch,7,10,3,2
151819484, 151831179, 15, 0, 1,-1,YellowPerch,3,10,3,2
151837972, 151851219, 16, 1, 2,2,EurasianRuffe,7,12,3,1
151857764, 151909988, 17, 0, 3,-1,RoundGoby,7,12,3,1
151916604, 151924036, 18, 1, 2,1,YellowPerch,3,10,7,1
151931259, 151940795, 19, 0, 1,-1,YellowPerch,3,12,7,2
151947051, 151956499, 20, 0, 3,-1,EurasianRuffe,3,10,7,2
152002723, 152011579, 21, 0, 2,-1,EurasianRuffe,7,12,3,1
152017932, 152045740, 22, 1, 3,0,EurasianRuffe,3,8,3,2
152052316, 152105075, 23, 1, 1,0,RoundGoby,3,8,7,2
152122811, 152141347, 24, 1, 2,1,EurasianRuffe,3,10,7,2
152147684, 152155907, 25, 1, 2,0,EurasianRuffe,7,8,3,2
152202172, 152214004, 26, 0, 2,-1,YellowPerch,7,12,7,2
152220260, 152229076, 27, 0, 2,-1,EurasianRuffe,3,8,3,2
152235772, 152244315, 28, 1, 2,1,EurasianRuffe,3,10,3,1
152250652, 152255531, 29, 0, 1,-1,RoundGoby,3,10,3,2
152301700, 152309011, 30, 1, 2,1,YellowPerch,7,10,3,2
152315187, 152318988, 31, 0, 3,-1,YellowPerch,3,8,3,1
152325644, 152335083, 32, 0, 2,-1,YellowPerch,7,10,7,1
152341756, 152351203, 33, 1, 3,0,EurasianRuffe,7,8,7,1
152357851, 152405883, 34, 0, 1,-1,RoundGoby,7,12,3,2
152412236, 152428427, 35, 1, 1,0,RoundGoby,3,8,3,1
152434804, 152436763, 36, 0, 1,-1,EurasianRuffe,3,10,3,1
152443339, 152451211, 37, 1, 1,0,YellowPerch,3,8,3,1
152500740, 152505148, 38, 0, 3,-1,EurasianRuffe,7,8,7,1
152511692, 152518299, 39, 1, 3,1,EurasianRuffe,3,12,7,1
152524427, 152529780, 40, 0, 1,-1,RoundGoby,3,12,7,1
152536051, 152540307, 41, 0, 2,-1,YellowPerch,3,10,7,1
152546444, 152549891, 42, 0, 1,-1,RoundGoby,7,12,7,2
152556596, 152559340, 43, 0, 2,-1,EurasianRuffe,7,10,7,2
152605692, 152610716, 44, 1, 1,1,RoundGoby,3,12,7,1
152616796, 152623652, 45, 1, 1,1,RoundGoby,7,12,3,1
152629652, 152634131, 46, 0, 2,-1,EurasianRuffe,7,8,3,2
152640044, 152646979, 47, 1, 1,1,RoundGoby,3,10,3,2
