ExptStartTime, ExptEndTime
135015058,140116532
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

135115927, 135121010, 0, 1, 1,2,EurasianRuffe,3,12,7,2
135133346, 135137729, 1, 1, 2,1,YellowPerch,3,12,7,2
135148867, 135151969, 2, 1, 3,0,RoundGoby,3,8,3,2
135203146, 135211521, 3, 1, 1,1,RoundGoby,7,10,7,2
135217978, 135223042, 4, 0, 2,-1,YellowPerch,7,8,7,2
135229018, 135232369, 5, 0, 2,-1,YellowPerch,3,8,7,1
135238994, 135248041, 6, 1, 2,0,YellowPerch,3,8,7,1
135254819, 135257634, 7, 1, 1,0,RoundGoby,3,12,3,1
135307898, 135313697, 8, 1, 3,0,RoundGoby,3,8,7,1
135321803, 135324194, 9, 0, 2,-1,YellowPerch,7,12,3,2
135330434, 135332978, 10, 1, 3,0,EurasianRuffe,7,8,3,1
135342313, 135346289, 11, 1, 1,0,EurasianRuffe,7,8,7,2
135355898, 135358242, 12, 1, 2,1,YellowPerch,7,10,3,1
135409554, 135411346, 13, 0, 2,-1,YellowPerch,3,12,7,2
135417458, 135421025, 14, 0, 1,-1,RoundGoby,3,10,7,2
135427403, 135429457, 15, 1, 1,0,RoundGoby,7,12,3,1
135437339, 135438761, 16, 1, 2,2,YellowPerch,7,12,3,2
135452250, 135454225, 17, 0, 3,-1,EurasianRuffe,7,8,3,1
135500666, 135502898, 18, 0, 3,-1,EurasianRuffe,3,8,3,2
135510066, 135511985, 19, 1, 3,0,EurasianRuffe,7,8,3,2
135523722, 135525145, 20, 1, 2,0,YellowPerch,7,8,7,1
135532650, 135534650, 21, 1, 1,0,RoundGoby,7,10,7,1
135543258, 135548642, 22, 1, 1,1,RoundGoby,3,10,7,2
135600970, 135604458, 23, 0, 1,-1,RoundGoby,3,8,3,2
135632530, 135639753, 24, 1, 3,1,EurasianRuffe,3,10,7,1
135650946, 135653313, 25, 0, 1,-1,RoundGoby,3,8,7,1
135659490, 135700546, 26, 0, 2,-1,YellowPerch,7,10,3,1
135706794, 135711841, 27, 0, 1,-1,RoundGoby,3,12,3,1
135717986, 135719594, 28, 1, 2,0,YellowPerch,7,8,7,2
135727609, 135729433, 29, 0, 1,-1,RoundGoby,7,12,3,1
135736434, 135738706, 30, 0, 1,-1,RoundGoby,7,8,3,2
135744977, 135746881, 31, 0, 3,-1,EurasianRuffe,3,12,7,2
135753713, 135755369, 32, 0, 3,-1,EurasianRuffe,7,8,7,2
135801698, 135803057, 33, 0, 2,-1,YellowPerch,3,12,3,2
135809074, 135811322, 34, 1, 3,2,EurasianRuffe,7,12,7,1
135823210, 135824929, 35, 1, 2,1,YellowPerch,3,10,3,1
135832690, 135833914, 36, 0, 2,-1,YellowPerch,3,10,3,1
135839770, 135841329, 37, 0, 3,-1,EurasianRuffe,3,10,3,1
135847577, 135848873, 38, 1, 2,2,YellowPerch,3,12,3,2
135859474, 135901289, 39, 0, 1,-1,RoundGoby,7,10,7,2
135907449, 135908938, 40, 0, 3,-1,EurasianRuffe,3,10,7,1
135915017, 135916601, 41, 0, 1,-1,RoundGoby,7,10,7,1
135922857, 135924361, 42, 0, 2,-1,YellowPerch,7,8,7,1
135930298, 135931977, 43, 0, 3,-1,EurasianRuffe,7,12,7,1
135938258, 135939770, 44, 1, 3,0,EurasianRuffe,3,10,3,1
135948281, 135950457, 45, 1, 1,0,RoundGoby,7,8,3,2
140000673, 140001921, 46, 0, 3,-1,EurasianRuffe,7,8,3,2
140008306, 140010161, 47, 1, 3,0,EurasianRuffe,3,8,3,2
