ExptStartTime, ExptEndTime
152449705,153920771
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

152633205, 152645329, 0, 1, 1,1,RoundGoby,3,10,3,2
152653258, 152700296, 1, 1, 2,0,EurasianRuffe,3,8,7,1
152707617, 152715448, 2, 0, 3,-1,RoundGoby,3,10,7,1
152722850, 152730992, 3, 1, 2,0,YellowPerch,3,8,7,1
152737801, 152744065, 4, 1, 2,1,YellowPerch,7,10,3,1
152753393, 152808633, 5, 1, 3,2,RoundGoby,7,12,3,2
152815474, 152822872, 6, 1, 1,1,EurasianRuffe,7,10,3,2
152830017, 152836497, 7, 1, 3,0,RoundGoby,7,8,3,1
152846458, 152852088, 8, 1, 2,1,YellowPerch,3,12,3,1
152903481, 152907513, 9, 0, 1,-1,EurasianRuffe,3,8,3,2
152918697, 152924417, 10, 0, 1,-1,YellowPerch,7,10,3,2
152932297, 152939409, 11, 0, 1,-1,EurasianRuffe,7,10,3,2
152946593, 152950561, 12, 0, 3,-1,RoundGoby,3,8,3,1
152958362, 153007769, 13, 1, 1,2,EurasianRuffe,3,12,7,2
153014713, 153024072, 14, 1, 3,1,RoundGoby,3,10,7,1
153030616, 153033689, 15, 0, 1,-1,EurasianRuffe,7,12,7,2
153041473, 153046776, 16, 1, 2,1,YellowPerch,7,8,7,1
153056177, 153101025, 17, 0, 3,-1,RoundGoby,7,8,7,1
153109633, 153116001, 18, 0, 2,-1,YellowPerch,3,8,3,2
153123241, 153129833, 19, 1, 1,0,EurasianRuffe,7,8,3,1
153137241, 153139272, 20, 0, 2,-1,YellowPerch,3,8,7,1
153145842, 153147856, 21, 0, 1,-1,EurasianRuffe,7,8,3,1
153155080, 153157336, 22, 0, 1,-1,EurasianRuffe,3,8,7,1
153204042, 153208992, 23, 1, 2,1,YellowPerch,7,10,3,2
153253961, 153258401, 24, 1, 1,2,EurasianRuffe,3,12,3,1
153305521, 153308280, 25, 0, 1,-1,EurasianRuffe,7,8,7,1
153317017, 153326105, 26, 1, 3,2,RoundGoby,7,10,7,2
153334346, 153337768, 27, 0, 3,-1,RoundGoby,7,8,3,1
153344289, 153349201, 28, 1, 1,0,EurasianRuffe,3,8,3,2
153358330, 153404440, 29, 1, 3,1,RoundGoby,3,10,7,2
153412666, 153415176, 30, 0, 2,-1,YellowPerch,3,12,7,2
153421673, 153424113, 31, 1, 3,0,RoundGoby,7,8,7,1
153435889, 153441864, 32, 1, 1,0,EurasianRuffe,7,8,7,1
153448825, 153451112, 33, 0, 3,-1,RoundGoby,3,10,7,2
153457617, 153500257, 34, 1, 2,0,YellowPerch,3,8,3,2
153510393, 153515665, 35, 0, 2,-1,YellowPerch,7,12,7,2
153522689, 153528160, 36, 0, 3,-1,RoundGoby,7,10,7,2
153534992, 153537080, 37, 0, 2,-1,YellowPerch,3,12,3,1
153543793, 153546001, 38, 1, 2,2,YellowPerch,7,12,7,2
153557408, 153601312, 39, 0, 3,-1,RoundGoby,7,12,3,2
153607930, 153610001, 40, 0, 1,-1,EurasianRuffe,3,12,3,1
153616321, 153619617, 41, 1, 2,2,YellowPerch,3,12,7,2
153630385, 153632680, 42, 0, 2,-1,YellowPerch,7,8,7,1
153639161, 153642289, 43, 1, 1,1,EurasianRuffe,7,12,7,2
153650129, 153652305, 44, 0, 3,-1,RoundGoby,3,10,3,2
153658913, 153701296, 45, 1, 3,0,RoundGoby,3,8,3,1
153709993, 153712145, 46, 0, 2,-1,YellowPerch,7,10,3,1
153718833, 153721905, 47, 0, 1,-1,EurasianRuffe,3,12,7,2
