ExptStartTime, ExptEndTime
111545413,113027708
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

111714998, 111721498, 0, 0, 2,-1,YellowPerch,7,12,3,1
111729066, 111734387, 1, 1, 3,1,RoundGoby,7,12,7,1
111743570, 111746705, 2, 0, 1,-1,EurasianRuffe,7,10,3,1
111754065, 111757529, 3, 0, 3,-1,RoundGoby,7,12,7,1
111804274, 111809673, 4, 0, 2,-1,YellowPerch,7,8,7,2
111818833, 111823202, 5, 1, 2,0,YellowPerch,7,8,3,2
111838330, 111842809, 6, 0, 3,-1,RoundGoby,7,12,7,2
111850938, 111900025, 7, 0, 3,-1,YellowPerch,7,12,7,1
111907938, 111910537, 8, 1, 3,0,YellowPerch,7,8,7,2
111928026, 111933665, 9, 0, 1,-1,EurasianRuffe,3,8,3,1
111940634, 111950338, 10, 1, 3,2,YellowPerch,7,12,3,1
111957818, 112003937, 11, 1, 3,0,RoundGoby,3,8,3,2
112011945, 112016305, 12, 1, 1,1,EurasianRuffe,3,8,3,1
112027202, 112033098, 13, 0, 2,-1,YellowPerch,3,10,7,1
112040914, 112053625, 14, 1, 2,1,EurasianRuffe,7,10,7,1
112100105, 112107705, 15, 1, 3,0,RoundGoby,3,8,7,2
112118793, 112124441, 16, 1, 3,0,RoundGoby,3,8,3,1
112132042, 112135826, 17, 0, 1,-1,EurasianRuffe,3,10,3,2
112143545, 112147345, 18, 0, 1,-1,EurasianRuffe,7,10,3,2
112154930, 112159705, 19, 0, 1,-1,EurasianRuffe,7,8,7,2
112207121, 112212505, 20, 1, 1,1,EurasianRuffe,7,10,3,1
112224282, 112227313, 21, 1, 1,0,EurasianRuffe,3,10,3,2
112242529, 112249393, 22, 0, 2,-1,YellowPerch,3,12,7,2
112256730, 112259425, 23, 0, 3,-1,RoundGoby,7,10,3,1
112325618, 112328641, 24, 0, 3,-1,RoundGoby,3,8,7,2
112335346, 112339393, 25, 1, 3,1,RoundGoby,3,12,7,1
112351121, 112402809, 26, 0, 2,-1,EurasianRuffe,7,10,7,1
112411610, 112414945, 27, 1, 2,2,YellowPerch,3,12,3,2
112431921, 112436474, 28, 1, 2,0,EurasianRuffe,3,8,7,1
112448394, 112452385, 29, 0, 2,-1,YellowPerch,3,12,3,2
112502025, 112509432, 30, 0, 3,-1,RoundGoby,3,8,3,2
112516378, 112519961, 31, 0, 1,-1,YellowPerch,3,12,3,1
112526681, 112531928, 32, 1, 1,2,YellowPerch,3,12,3,1
112545818, 112549201, 33, 1, 1,2,YellowPerch,3,12,7,2
112600411, 112605352, 34, 1, 2,1,YellowPerch,3,10,7,1
112616745, 112619681, 35, 1, 1,1,EurasianRuffe,7,8,7,2
112631785, 112639672, 36, 1, 3,2,RoundGoby,7,12,7,2
112646737, 112649016, 37, 0, 3,-1,RoundGoby,3,12,7,1
112655786, 112659792, 38, 0, 2,-1,EurasianRuffe,3,10,7,2
112708153, 112710600, 39, 0, 3,-1,RoundGoby,7,12,3,2
112716946, 112724769, 40, 0, 1,-1,EurasianRuffe,3,8,7,1
112731881, 112740904, 41, 1, 2,2,RoundGoby,7,12,3,2
112748218, 112750713, 42, 1, 1,2,EurasianRuffe,3,10,7,2
112759298, 112803688, 43, 1, 3,1,RoundGoby,7,10,3,1
112810737, 112813912, 44, 0, 3,-1,RoundGoby,3,8,3,1
112820969, 112823408, 45, 1, 2,1,EurasianRuffe,7,10,3,2
112831129, 112834616, 46, 0, 2,-1,YellowPerch,7,8,3,2
112841298, 112847784, 47, 1, 2,1,YellowPerch,7,12,7,1
