ExptStartTime, ExptEndTime
152647852,153850080
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

152806319, 152813126, 0, 1, 3,0,RoundGoby,3,8,7,1
152824590, 152828903, 1, 0, 2,-1,YellowPerch,3,12,7,2
152836982, 152841486, 2, 0, 2,-1,YellowPerch,3,8,7,1
152848966, 152852789, 3, 1, 2,1,YellowPerch,7,10,7,1
152903766, 152915878, 4, 1, 1,1,EurasianRuffe,7,10,7,2
152923470, 152927382, 5, 0, 2,-1,YellowPerch,7,12,7,2
152934310, 152943150, 6, 1, 2,0,YellowPerch,3,8,7,1
152951367, 152954118, 7, 1, 3,0,RoundGoby,7,10,3,1
153004198, 153006335, 8, 1, 1,0,EurasianRuffe,3,8,3,1
153017334, 153022749, 9, 0, 3,-1,RoundGoby,7,10,3,1
153030158, 153033365, 10, 1, 2,2,YellowPerch,3,12,3,1
153045782, 153048646, 11, 0, 3,-1,RoundGoby,3,12,3,2
153058126, 153100846, 12, 0, 3,-1,RoundGoby,7,8,3,2
153110534, 153113021, 13, 1, 1,1,EurasianRuffe,3,10,7,1
153124102, 153126277, 14, 0, 1,-1,EurasianRuffe,7,8,3,2
153133478, 153136949, 15, 1, 3,1,RoundGoby,7,12,7,1
153147358, 153149773, 16, 1, 3,0,RoundGoby,3,10,7,2
153200902, 153203022, 17, 0, 3,-1,RoundGoby,3,10,7,2
153209702, 153211758, 18, 0, 1,-1,EurasianRuffe,3,8,3,1
153220878, 153223717, 19, 0, 2,-1,YellowPerch,3,12,3,1
153231118, 153238029, 20, 1, 2,2,YellowPerch,7,12,7,2
153244534, 153247669, 21, 1, 1,2,EurasianRuffe,7,12,7,1
153258342, 153300805, 22, 1, 3,2,RoundGoby,3,12,3,2
153310894, 153314374, 23, 0, 3,-1,RoundGoby,7,8,7,2
153332046, 153335189, 24, 1, 3,0,RoundGoby,7,8,7,2
153346470, 153349358, 25, 0, 2,-1,YellowPerch,7,10,3,1
153355694, 153357326, 26, 1, 2,1,YellowPerch,7,10,3,1
153406807, 153409837, 27, 0, 1,-1,EurasianRuffe,3,8,7,2
153416462, 153418935, 28, 0, 2,-1,YellowPerch,3,12,3,2
153425750, 153430653, 29, 1, 3,1,RoundGoby,3,12,3,1
153437902, 153440349, 30, 0, 1,-1,EurasianRuffe,3,10,7,1
153446950, 153452453, 31, 1, 1,1,EurasianRuffe,3,12,3,2
153458886, 153501622, 32, 0, 3,-1,RoundGoby,7,12,7,1
153508382, 153511285, 33, 1, 1,0,EurasianRuffe,3,8,7,2
153521782, 153527869, 34, 1, 1,0,EurasianRuffe,7,10,3,1
153534462, 153539781, 35, 1, 1,0,EurasianRuffe,7,8,3,2
153546406, 153548429, 36, 0, 1,-1,EurasianRuffe,7,10,7,2
153555430, 153559213, 37, 0, 1,-1,EurasianRuffe,7,12,7,1
153606078, 153608205, 38, 0, 2,-1,YellowPerch,7,8,3,2
153614494, 153617109, 39, 1, 3,0,RoundGoby,7,8,3,2
153626598, 153628582, 40, 0, 3,-1,RoundGoby,3,12,3,1
153634967, 153638805, 41, 1, 3,2,YellowPerch,3,12,7,2
153649046, 153651069, 42, 0, 1,-1,EurasianRuffe,3,12,3,2
153657430, 153703309, 43, 1, 2,2,YellowPerch,3,12,3,2
153709710, 153711502, 44, 0, 1,-1,EurasianRuffe,7,10,3,1
153718078, 153719686, 45, 0, 3,-1,RoundGoby,3,8,7,1
153726950, 153729086, 46, 0, 2,-1,YellowPerch,7,10,7,1
153735462, 153739621, 47, 1, 2,1,YellowPerch,7,8,3,2
