ExptStartTime, ExptEndTime
163013646,164920060
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

163153746, 163204750, 0, 1, 3,0,RoundGoby,3,8,7,1
163217383, 163223998, 1, 0, 2,-1,YellowPerch,3,12,7,2
163232190, 163240206, 2, 0, 1,-1,YellowPerch,3,8,7,1
163248119, 163257285, 3, 1, 1,1,YellowPerch,7,10,7,1
163318591, 163323726, 4, 1, 2,1,EurasianRuffe,7,10,7,2
163338974, 163354198, 5, 0, 3,-1,YellowPerch,7,12,7,2
163401183, 163408349, 6, 1, 3,0,YellowPerch,3,8,7,1
163422950, 163439478, 7, 1, 3,0,RoundGoby,7,10,3,1
163452503, 163457654, 8, 1, 2,0,EurasianRuffe,3,8,3,1
163510199, 163514846, 9, 0, 3,-1,RoundGoby,7,10,3,1
163521574, 163524510, 10, 1, 1,1,YellowPerch,3,12,3,1
163546199, 163553111, 11, 0, 3,-1,RoundGoby,3,12,3,2
163600910, 163612158, 12, 0, 2,-1,RoundGoby,7,8,3,2
163618967, 163623726, 13, 1, 2,1,EurasianRuffe,3,10,7,1
163638991, 163647598, 14, 0, 2,-1,EurasianRuffe,7,8,3,2
163653902, 163710638, 15, 1, 3,0,RoundGoby,7,12,7,1
163729712, 163742829, 16, 1, 3,1,RoundGoby,3,10,7,2
163758191, 163804110, 17, 0, 3,-1,RoundGoby,3,10,7,2
163811999, 163816542, 18, 0, 2,-1,EurasianRuffe,3,8,3,1
163825582, 163829302, 19, 0, 1,-1,YellowPerch,3,12,3,1
163835670, 163840998, 20, 1, 1,2,YellowPerch,7,12,7,2
163855719, 163901638, 21, 1, 2,2,EurasianRuffe,7,12,7,1
163922096, 163930879, 22, 1, 3,2,RoundGoby,3,12,3,2
163945823, 164004750, 23, 0, 2,-1,RoundGoby,7,8,7,2
164038480, 164043639, 24, 1, 2,0,RoundGoby,7,8,7,2
164056367, 164100590, 25, 0, 1,-1,YellowPerch,7,10,3,1
164108943, 164113734, 26, 1, 1,1,YellowPerch,7,10,3,1
164135007, 164146351, 27, 0, 2,-1,EurasianRuffe,3,8,7,2
164153727, 164157830, 28, 0, 1,-1,YellowPerch,3,12,3,2
164204367, 164210991, 29, 1, 3,1,RoundGoby,3,12,3,1
164225535, 164232479, 30, 0, 2,-1,EurasianRuffe,3,10,7,1
164239544, 164242486, 31, 1, 2,2,EurasianRuffe,3,12,3,2
164259136, 164309759, 32, 0, 3,-1,RoundGoby,7,12,7,1
164318168, 164320903, 33, 1, 2,0,EurasianRuffe,3,8,7,2
164333438, 164345094, 34, 1, 2,1,EurasianRuffe,7,10,3,1
164352280, 164404319, 35, 1, 2,0,EurasianRuffe,7,8,3,2
164418536, 164428159, 36, 0, 2,-1,EurasianRuffe,7,10,7,2
164434592, 164439215, 37, 0, 2,-1,EurasianRuffe,7,12,7,1
164445575, 164452103, 38, 0, 1,-1,YellowPerch,7,8,3,2
164500327, 164511015, 39, 1, 3,0,RoundGoby,7,8,3,2
164521456, 164526439, 40, 0, 3,-1,RoundGoby,3,12,3,1
164533736, 164538695, 41, 1, 1,2,YellowPerch,3,12,7,2
164551848, 164613735, 42, 0, 2,-1,EurasianRuffe,3,12,3,2
164621336, 164630039, 43, 1, 1,1,YellowPerch,3,12,3,2
164644424, 164649951, 44, 0, 2,-1,EurasianRuffe,7,10,3,1
164657223, 164700607, 45, 0, 3,-1,RoundGoby,3,8,7,1
164707304, 164710279, 46, 0, 1,-1,YellowPerch,7,10,7,1
164716896, 164720991, 47, 1, 1,0,YellowPerch,7,8,3,2
