ExptStartTime, ExptEndTime
184114666,185910282
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

184233738, 184244406, 0, 1, 3,0,RoundGoby,3,8,7,1
184301198, 184315302, 1, 0, 1,-1,YellowPerch,3,12,7,2
184323102, 184329677, 2, 0, 2,-1,YellowPerch,3,8,7,1
184337446, 184355310, 3, 1, 1,1,YellowPerch,7,10,7,1
184404119, 184416221, 4, 1, 2,1,EurasianRuffe,7,10,7,2
184429990, 184440589, 5, 0, 2,-1,YellowPerch,7,12,7,2
184452166, 184506549, 6, 1, 1,0,YellowPerch,3,8,7,1
184519703, 184546221, 7, 1, 2,1,RoundGoby,7,10,3,1
184557422, 184607621, 8, 1, 1,0,EurasianRuffe,3,8,3,1
184628335, 184636541, 9, 0, 2,-1,RoundGoby,7,10,3,1
184648526, 184701749, 10, 1, 1,1,YellowPerch,3,12,3,1
184714806, 184731238, 11, 0, 2,-1,RoundGoby,3,12,3,2
184738358, 184744093, 12, 0, 2,-1,RoundGoby,7,8,3,2
184753142, 184758925, 13, 1, 1,1,EurasianRuffe,3,10,7,1
184813518, 184818005, 14, 0, 1,-1,EurasianRuffe,7,8,3,2
184832318, 184837270, 15, 1, 2,2,RoundGoby,7,12,7,1
184859942, 184905877, 16, 1, 2,1,RoundGoby,3,10,7,2
184920334, 184929213, 17, 0, 2,-1,RoundGoby,3,10,7,2
184940334, 184943454, 18, 0, 1,-1,EurasianRuffe,3,8,3,1
184953007, 184959150, 19, 0, 1,-1,YellowPerch,3,12,3,1
185011678, 185016797, 20, 1, 1,1,YellowPerch,7,12,7,2
185034126, 185038094, 21, 1, 1,2,EurasianRuffe,7,12,7,1
185059391, 185106934, 22, 1, 2,2,RoundGoby,3,12,3,2
185118087, 185122782, 23, 0, 2,-1,RoundGoby,7,8,7,2
185142654, 185149861, 24, 1, 2,0,RoundGoby,7,8,7,2
185159878, 185202590, 25, 0, 1,-1,YellowPerch,7,10,3,1
185210599, 185216086, 26, 1, 1,1,YellowPerch,7,10,3,1
185228039, 185230750, 27, 0, 1,-1,EurasianRuffe,3,8,7,2
185237791, 185240646, 28, 0, 1,-1,YellowPerch,3,12,3,2
185251079, 185307630, 29, 1, 2,1,RoundGoby,3,12,3,1
185316887, 185321278, 30, 0, 1,-1,EurasianRuffe,3,10,7,1
185331814, 185337158, 31, 1, 1,0,EurasianRuffe,3,12,3,2
185348912, 185355111, 32, 0, 2,-1,RoundGoby,7,12,7,1
185403079, 185406726, 33, 1, 1,1,EurasianRuffe,3,8,7,2
185422462, 185426678, 34, 1, 1,1,EurasianRuffe,7,10,3,1
185436479, 185440862, 35, 1, 1,0,EurasianRuffe,7,8,3,2
185449511, 185455638, 36, 0, 1,-1,EurasianRuffe,7,10,7,2
185502639, 185507222, 37, 0, 1,-1,EurasianRuffe,7,12,7,1
185515191, 185523838, 38, 0, 2,-1,YellowPerch,7,8,3,2
185532183, 185539503, 39, 1, 2,0,RoundGoby,7,8,3,2
185548799, 185551846, 40, 0, 3,-1,RoundGoby,3,12,3,1
185601334, 185605159, 41, 1, 1,1,YellowPerch,3,12,7,2
185615215, 185619391, 42, 0, 1,-1,EurasianRuffe,3,12,3,2
185626143, 185630974, 43, 1, 1,1,YellowPerch,3,12,3,2
185642239, 185654655, 44, 0, 1,-1,EurasianRuffe,7,10,3,1
185702182, 185713878, 45, 0, 3,-1,RoundGoby,3,8,7,1
185730575, 185737271, 46, 0, 1,-1,YellowPerch,7,10,7,1
185744327, 185753510, 47, 1, 1,0,YellowPerch,7,8,3,2
